IndividualId,Gender,Population,Population.Name,Organism.Weight..kg.,Organism.BMI..kg.dm².,Organism.BSA..dm².,Organism.Age..year.s..,Organism.Gestational.age..week.s..,Organism.Height..dm.,Organism.Ontogeny.factor..albumin.,Organism.Ontogeny.factor..alpha1.acid.glycoprotein.,Organism.Hematocrit,Organism.VenousBlood.Volume..l.,Organism.ArterialBlood.Volume..l.,Organism.Bone.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Bone.Volume..l.,Organism.Brain.Volume..l.,Organism.Brain.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Fat.Volume..l.,Organism.Fat.Vf..lipid.,Organism.Fat.Vf..neutral.lipid..PT,Organism.Fat.Vf..phospholipid..PT,Organism.Fat.Fraction.interstitial,Organism.Fat.Vf..water.,Organism.Fat.Vf..water..PT,Organism.Fat.Vf..neutral.lipid..RR,Organism.Fat.Vf..neutral.lipid..WS,Organism.Fat.Vf..neutral.phospholipid..RR,Organism.Fat.Vf..neutral.phospholipid..plasma..WS,Organism.Fat.Vf..extracellular.water..RR,Organism.Fat.Vf..intracellular.water..RR,Organism.Fat.Vf..water..WS,Organism.Fat.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Gonads.Volume..l.,Organism.Gonads.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Heart.Volume..l.,Organism.Heart.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Kidney.Volume..l.,Organism.Kidney.Age.of.aging.onset..year.s..,Organism.Kidney.Aging.half.time..year.s..,Organism.Kidney.GFRmat..l.min.,Organism.Kidney.Hill.coefficient.for.aging.GFR,Organism.Kidney.Hill.coefficient.for.GFR,Organism.Kidney.Maximal.decreasing.rate.factor,Organism.Kidney.TM50.for.GFR..week.s..,Organism.Kidney.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Lumen.Effective.surface.area.variability.factor,Organism.Lumen.Stomach.Distal.radius..dm.,Organism.Lumen.Stomach.Gastric.emptying.time..min.,Organism.Lumen.Stomach.GET_alpha..Weibull.function..variability.factor,Organism.Lumen.Stomach.GET_beta..Weibull.function..variability.factor,Organism.Lumen.Stomach.Length..dm.,Organism.Lumen.Stomach.Proximal.radius..dm.,Organism.Lumen.Duodenum.Effective.surface.area.enhancement.factor,Organism.Lumen.UpperJejunum.Effective.surface.area.enhancement.factor,Organism.Lumen.LowerJejunum.Effective.surface.area.enhancement.factor,Organism.Lumen.UpperIleum.Effective.surface.area.enhancement.factor,Organism.Lumen.LowerIleum.Effective.surface.area.enhancement.factor,Organism.Lumen.Caecum.Effective.surface.area.enhancement.factor,Organism.Lumen.ColonAscendens.Effective.surface.area.enhancement.factor,Organism.Lumen.ColonTransversum.Effective.surface.area.enhancement.factor,Organism.Lumen.ColonDescendens.Effective.surface.area.enhancement.factor,Organism.Lumen.ColonSigmoid.Effective.surface.area.enhancement.factor,Organism.Lumen.Rectum.Effective.surface.area.enhancement.factor,Organism.Stomach.Volume..l.,Organism.Stomach.Specific.blood.flow.rate..l.min.kg.organ.,Organism.SmallIntestine.Small.intestinal.transit.time..min.,Organism.SmallIntestine.Volume..l.,Organism.SmallIntestine.Specific.blood.flow.rate..l.min.kg.organ.,Organism.LargeIntestine.Large.intestinal.transit.time..min.,Organism.LargeIntestine.Volume..l.,Organism.LargeIntestine.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Liver.Volume..l.,Organism.Liver.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Lung.Volume..l.,Organism.Lung.Fraction.vascular,Organism.Muscle.Volume..l.,Organism.Muscle.Vf..lipid.,Organism.Muscle.Vf..neutral.lipid..PT,Organism.Muscle.Vf..phospholipid..PT,Organism.Muscle.Vf..protein.,Organism.Muscle.Vf..water.,Organism.Muscle.Vf..water..PT,Organism.Muscle.Fraction.interstitial,Organism.Muscle.Vf..neutral.lipid..RR,Organism.Muscle.Vf..neutral.lipid..WS,Organism.Muscle.Vf..neutral.phospholipid..RR,Organism.Muscle.Vf..neutral.phospholipid..plasma..WS,Organism.Muscle.Vf..extracellular.water..RR,Organism.Muscle.Vf..protein..WS,Organism.Muscle.Vf..intracellular.water..RR,Organism.Muscle.Vf..water..WS,Organism.Muscle.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Pancreas.Volume..l.,Organism.Pancreas.Specific.blood.flow.rate..l.min.kg.organ.,Organism.PortalVein.Volume..l.,Organism.Skin.Volume..l.,Organism.Skin.Specific.blood.flow.rate..l.min.kg.organ.,Organism.Spleen.Volume..l.,Organism.Spleen.Specific.blood.flow.rate..l.min.kg.organ.,Liver.Enzyme.Reference.concentration..µmol.l.
E18,MALE,European_ICRP_2002,Extensive metabolizers,55.78678195,0.21538551,157.9253314,32.49033887,40,16.09375603,1.063327595,1.345660043,0.47,0.991894899,0.360774644,0.028026859,10.00864195,1.52240368,0.525810616,7.708690267,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.022252889,0.036595514,0.081910734,0.346030195,0.620498373,0.445383284,30,54,0.134787715,1.5,15.36535596,0.9,44.24813577,2.840157099,1.12625322,0.5,8.869519471,0.352435355,0.866520565,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.170825318,0.397270995,94.07450117,0.715571518,0.954783014,2652,0.424323506,0.681082575,1.799865868,0.177645655,1.06010639,0.58,25.39369163,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.033236288,0.168892425,0.364783267,0.971087736,3.317747535,0.086052648,0.344255596,0.844626142,1.994727369
E19,MALE,European_ICRP_2002,Extensive metabolizers,53.63419599,0.217828109,152.900986,86.95373781,40,15.69148068,0.774516295,1.009279998,0.47,0.793791223,0.335168744,0.026349756,8.401928737,1.303109333,0.433950199,15.27472601,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.022455483,0.029980892,0.086481858,0.514800982,0.765786466,0.360254276,30,54,0.140968616,1.5,15.33246718,0.9,44.41976604,1.23499882,0.633849203,0.5,18.73004595,1.359660111,1.075335446,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.139994758,0.168275115,145.3207302,0.804384393,0.390707437,2652,0.431371757,0.285921534,1.915671228,0.137485584,0.683333139,0.58,18.42257745,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.032965774,0.156507444,0.187904928,0.734670255,3.203152149,0.08990722,0.128773216,0.580741703,1.749076709
E2,MALE,European_ICRP_2002,Extensive metabolizers,61.58467942,0.220609671,169.0658188,21.8042662,40,16.70798469,1.009144161,0.714813834,0.442680887,0.735934716,0.386129829,0.033176368,9.768588023,1.423085661,0.501919159,11.602587,0.761753242,0.752231327,0.001904383,0.192782935,0.188246758,0.225896109,0.812219395,0.876016229,0.001523506,0.001927236,0.169422082,0.011294805,0.037649352,0.025226033,0.026313843,0.129846949,0.274730637,0.811507276,0.343348079,30,54,0.11369883,1.5,14.92226915,0.9,45.41269667,3.259177034,0.519346613,0.486029006,17.25605162,1.794940132,0.776569012,1.944105095,0.486029006,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.148991739,0.434537181,172.9683416,0.662608693,0.980330784,2571.681809,0.512429335,0.671147127,1.381179013,0.213277892,1.27132453,0.58,28.66229465,0.013,0.0238,0.0072,0.177,0.811,0.76,0.170927645,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.033586911,0.209342152,0.371932532,0.884111407,2.892644769,0.119703099,0.399035334,0.834745,1.944705938
E20,MALE,European_ICRP_2002,Extensive metabolizers,9.603244717,0.165516584,45.07757593,0.871984102,40,7.617075149,1.015488484,0.697152821,0.36,0.091237636,0.039476343,0.049777169,1.379303078,0.786289492,0.697547748,3.88841698,0.573116661,0.565952703,0.001432792,0.374323021,0.376883339,0.452260006,0.61108564,0.659084161,0.001146233,0.001449985,0.339195005,0.022613,0.075376668,0.017959858,0.00180307,0.317668863,0.059720032,0.773724396,0.081851064,30,54,0.122919352,1.5,15.12663075,0.9,46.33885486,2.192789956,1.470211197,0.206818311,22.73844732,0.447932957,1.755886791,0.827271964,0.206818311,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.02161331,0.480703737,126.7146845,0.099398329,1.294443727,2319.363326,0.040965306,0.873120098,0.399679224,0.191237135,0.151194591,0.58,1.978318794,0.013,0.0238,0.0072,0.243345102,0.827164695,0.775148172,0.335361908,0.022,0.0049,0.0078,0.0042,0.080574613,0.261217906,0.679274583,0.775148172,0.035308373,0.027914836,0.424692335,0.104309295,0.39235829,0.143291063,0.059395047,0.745689943,2.022695536
E21,MALE,European_ICRP_2002,Extensive metabolizers,93.24546966,0.324804811,209.4945009,84.51324337,40,16.94348113,0.994498393,1.246958914,0.47,0.891517389,0.382464375,0.028536812,9.662571262,1.386168536,0.463996398,41.04249332,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.022385574,0.03274514,0.08190162,0.550756405,0.775386009,0.46005513,30,54,0.137703977,1.5,14.83492405,0.9,43.57472636,1.325139663,0.794886976,0.5,7.178793668,0.895064673,1.443802595,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.202231733,0.1798225,180.9668901,0.683827418,0.390675836,2652,0.39014166,0.285468317,1.386288118,0.134916431,1.141878095,0.58,29.14894389,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.033216679,0.186741501,0.204226643,0.871747797,4.367390921,0.081631452,0.457506965,0.597155642,1.878534566
P0,MALE,European_ICRP_2002,Poor metabolizers,54.80184575,0.226237658,153.9262187,77.6255689,40,15.5637822,0.827650626,0.777868781,0.47,0.842588103,0.316563989,0.026328692,8.556038752,1.478953602,0.443092072,14.98546998,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.021715731,0.031055252,0.077504939,0.389120093,0.741778315,0.481023429,30,54,0.123785751,1.5,15.02935195,0.9,44.81745527,1.468420127,0.786828514,0.5,6.159302627,0.473805178,1.59146388,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.157584423,0.189368808,84.91306469,0.631926724,0.493138018,2652,0.359722736,0.347491163,1.260333774,0.164915309,1.08539281,0.58,20.31853753,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.03465265,0.090442083,0.198733076,0.775915857,2.929777596,0.08736297,0.111399015,0.625172482,0.122129378
P1,MALE,European_ICRP_2002,Poor metabolizers,66.50135678,0.246938869,174.1137027,66.93303956,40,16.41045133,0.693271851,1.563022932,0.47,0.86604481,0.396482941,0.026504962,9.851092699,1.50669631,0.460011406,13.05877968,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.019959458,0.031931765,0.087677666,0.472503703,0.668707458,0.354588568,30,54,0.126644467,1.5,14.97018074,0.9,44.52787031,1.789800964,0.841656049,0.5,13.40893954,2.218580001,0.941960419,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.137189307,0.302939994,123.708753,0.646806771,0.623151119,2652,0.419637124,0.466378489,1.864912662,0.164590997,1.055094634,0.58,30.97379255,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.033476888,0.168280205,0.268550387,0.820527163,3.77150129,0.084000212,0.10549459,0.763023754,0.104367722
P10,MALE,European_ICRP_2002,Poor metabolizers,63.23974598,0.238348898,169.1596336,20.39940768,40,16.28877723,1.081096921,0.979275562,0.437998026,0.802396259,0.369797796,0.033514008,9.173075832,1.429752451,0.541987579,13.16722569,0.755197236,0.74575727,0.001887993,0.198402369,0.194802764,0.233763317,0.805229053,0.868476821,0.001510394,0.001910649,0.175322488,0.011688166,0.038960553,0.028300751,0.02362054,0.132576907,0.269647454,0.825523977,0.268244866,30,54,0.12687953,1.5,14.97821785,0.9,43.76882773,3.271124726,1.58701269,0.48363419,15.73914105,1.970969805,1.062199659,1.93452396,0.48363419,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.143764713,0.427041701,167.9915767,0.727413687,1.062083023,2557.914195,0.359362759,0.705735844,2.813704156,0.239512351,0.816032918,0.58,28.53619453,0.013,0.0238,0.0072,0.177,0.811,0.76,0.17280079,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.033899941,0.14412985,0.402536122,0.873845617,3.112071676,0.126640342,0.209465193,0.858969607,0.134260968
P11,MALE,European_ICRP_2002,Poor metabolizers,69.21264276,0.248114701,179.1980937,55.29169359,40,16.70192262,1.043403136,1.762397301,0.47,0.976778908,0.4032043,0.027902781,10.6746241,1.522953624,0.493622666,12.61201747,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.021206292,0.033022387,0.081351055,0.321197864,0.626671973,0.397566371,30,54,0.120233999,1.5,14.77936173,0.9,45.31456233,2.392915145,0.792356489,0.5,18.81182332,0.743534257,1.031709971,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.163755666,0.305730702,93.59403745,0.605522866,0.843317446,2652,0.48384215,0.630379141,2.344311518,0.193339757,2.082931558,0.58,32.12534405,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.033659145,0.091365654,0.315688446,0.76925132,3.424500703,0.095706159,0.180452256,0.856452222,0.063060173
P12,MALE,European_ICRP_2002,Poor metabolizers,55.80119741,0.201710865,160.5675391,57.48235968,40,16.63248397,0.979597547,0.703477233,0.47,0.998607459,0.390982322,0.02787885,10.63419816,1.467002087,0.440341634,6.541647806,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.020135626,0.034051827,0.081883744,0.343593385,0.67876813,0.533530577,30,54,0.157887187,1.5,14.99334968,0.9,45.02202411,1.853172367,0.602049741,0.5,5.93726323,0.651321836,0.673224864,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.160544696,0.357824445,166.1361007,0.734537152,0.772411945,2652,0.496164281,0.592381319,1.543826073,0.176165534,1.267755379,0.58,26.16396478,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.036403504,0.254222799,0.325359393,0.871962191,3.278957865,0.08314095,0.085648569,0.900352174,0.066073962
P13,MALE,European_ICRP_2002,Poor metabolizers,71.65158785,0.266582673,180.6420363,95.07767353,40,16.39445374,0.862772126,0.614865485,0.47,0.805527373,0.30865306,0.028329988,8.74636803,1.24614872,0.401246394,24.91343715,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.022580043,0.02885186,0.087138344,0.469909426,0.702600651,0.338016655,30,54,0.113149601,1.5,15.22711125,0.9,45.46887172,1.009803768,2.216430533,0.5,14.99200012,2.684755985,0.582512941,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.211618729,0.14127573,186.5872561,0.82484052,0.336175995,2652,0.412572969,0.241750689,1.253810686,0.124133386,1.217621388,0.58,26.04768548,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.035294697,0.094825468,0.174384858,0.639491754,4.039073967,0.084945399,0.05313461,0.571107748,0.116931539
P14,MALE,European_ICRP_2002,Poor metabolizers,75.2298596,0.248096301,190.7633987,25.17013062,40,17.41345631,0.822014252,1.305439377,0.453900435,0.919723421,0.388681172,0.030240773,11.12634699,1.470517589,0.472218492,23.24315052,0.77746061,0.767742352,0.001943652,0.179319478,0.17253939,0.207047269,0.828967375,0.894079701,0.001554921,0.001966975,0.155285451,0.010352363,0.034507878,0.024375817,0.034894113,0.110455534,0.309723732,0.748380628,0.490949149,30,54,0.127925109,1.5,15.11772817,0.9,42.55537836,3.079080865,0.552775837,0.491766683,11.62796206,0.668961012,1.427577201,1.967060291,0.491766683,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.176638472,0.417327213,136.7730227,0.533973406,0.923995435,2604.66728,0.27289549,0.720191993,2.205145506,0.196736553,0.988323127,0.58,28.0874698,0.013,0.0238,0.0072,0.177,0.811,0.76,0.166439826,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.035358194,0.192861272,0.400364438,1.06908573,3.493184409,0.097543697,0.226295695,0.830998754,0.104979233
P15,MALE,European_ICRP_2002,Poor metabolizers,66.26827675,0.201647078,182.6790356,92.74685736,40,18.12829136,0.861241886,0.809115386,0.47,0.905083015,0.393938658,0.027934771,10.7525684,1.410853156,0.419262652,20.34216539,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.021803312,0.031527928,0.074239095,0.482682871,0.718562108,0.398813884,30,54,0.092587051,1.5,14.99239493,0.9,43.36995218,1.009508935,0.948063409,0.5,14.90898239,0.657575661,0.71452927,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.190367658,0.15496318,60.788618,0.876199571,0.361973747,2652,0.364895386,0.238481124,1.7443823,0.122695962,1.246456737,0.58,22.02085912,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.032474846,0.111720562,0.17895907,0.805910267,3.970026784,0.08646987,0.219825062,0.642730586,0.116084543
P16,MALE,European_ICRP_2002,Poor metabolizers,57.83128009,0.228423624,159.8800535,75.95586422,40,15.91149159,0.985359039,1.224156975,0.47,0.916093873,0.372085235,0.02924504,9.217337796,1.418873041,0.432248125,13.55130095,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.021713763,0.032315451,0.076423531,0.435945018,0.682738859,0.317179726,30,54,0.097813677,1.5,14.98169794,0.9,43.53743543,1.647659757,1.026318127,0.5,14.3534305,3.273876602,1.259238521,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.14788766,0.220694097,200.0446983,0.81711,0.480405526,2652,0.421642045,0.350745823,1.375274587,0.16922618,0.684866492,0.58,23.86385164,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.03361113,0.101019621,0.249473037,0.747668643,3.252000079,0.081988468,0.158828231,0.629750473,0.073854101
P17,MALE,European_ICRP_2002,Poor metabolizers,68.61725896,0.225132565,182.4201799,49.12381542,40,17.45812196,0.81818039,1.564560977,0.47,0.903626185,0.390130222,0.03077369,11.58764588,1.487881446,0.500433475,14.51651585,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.022159834,0.035097102,0.082765209,0.297712986,0.631990206,0.246209118,30,54,0.13867223,1.5,15.61735653,0.9,43.8911214,2.39302563,1.311191284,0.5,13.7998549,1.621025725,0.611286452,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.191340426,0.403834885,168.685288,0.66619016,0.789668441,2652,0.515107635,0.608975251,2.643413463,0.190947898,1.036627179,0.58,29.48257222,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.034248368,0.212132764,0.336934416,0.818439212,3.450764283,0.077136241,0.135852825,0.960497442,0.097529239
P18,MALE,European_ICRP_2002,Poor metabolizers,80.46975837,0.255526008,199.1696594,45.23507079,40,17.74593119,1.363574703,1.369943086,0.47,0.954601405,0.385065794,0.028314379,11.9652204,1.456531378,0.502200295,22.15023645,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.022017583,0.040933015,0.06755139,0.512495071,0.591987555,0.523912786,30,54,0.105808838,1.5,14.85806822,0.9,44.48010077,2.686992952,2.192382823,0.5,9.514783576,2.624869734,0.950704981,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.239962977,0.370259863,150.1246577,0.673510403,0.9278089,2652,0.3191947,0.624381869,2.200105092,0.189828618,2.010886639,0.58,31.71144367,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.035310515,0.255958524,0.361353494,0.925333893,3.877690942,0.086984781,0.266675224,0.955003012,0.083336113
P19,MALE,European_ICRP_2002,Poor metabolizers,61.44569051,0.216496793,169.5755133,86.19497823,40,16.84689932,1.12233107,1.423155082,0.47,0.835357202,0.381127919,0.027827168,9.76853064,1.288959878,0.453434795,14.77499376,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.02138381,0.032922825,0.074677496,0.521085189,0.721218055,0.362416744,30,54,0.160269358,1.5,14.68333402,0.9,43.34296445,1.251407397,1.298346796,0.5,14.17228159,0.451545011,1.219559019,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.145573276,0.164066009,142.6244927,0.740505149,0.410446806,2652,0.449985985,0.28257976,2.059179914,0.149671014,1.455816295,0.58,24.45302311,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.035479996,0.152784855,0.192591491,0.780096827,3.039426188,0.089679201,0.203904753,0.592449591,0.116909087
P2,MALE,European_ICRP_2002,Poor metabolizers,56.06357975,0.230298269,155.8817906,97.36651555,40,15.60253178,0.963931034,1.205675953,0.47,0.771206378,0.321776098,0.028305888,8.042602022,1.336037127,0.42036398,19.69242683,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.021298951,0.029136684,0.08470133,0.489381576,0.776052585,0.386956185,30,54,0.076476273,1.5,14.93946831,0.9,44.8970433,0.892652881,1.054909338,0.5,12.0192482,0.704430273,0.7472844,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.157576976,0.123351904,79.46234559,0.698823372,0.320856477,2652,0.409849155,0.210063675,0.718021298,0.121138647,1.549617914,0.58,17.22296847,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.035119122,0.09993925,0.154072455,0.685078415,3.268337254,0.089692471,0.18384475,0.600650438,0.147036329
P20,MALE,European_ICRP_2002,Poor metabolizers,70.90456791,0.255957629,181.0594,67.25950621,40,16.64382221,1.118732791,1.412933535,0.47,0.849974519,0.391039777,0.028159625,10.26236143,1.50124989,0.429588187,11.55847864,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.009,0.03,0.023446153,0.032951114,0.07609495,0.377685937,0.668989262,0.53327812,30,54,0.117133152,1.5,14.93909659,0.9,43.98189938,1.676160765,1.237198536,0.5,15.03240476,0.766973915,1.146265811,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.178590718,0.269741725,126.9576231,0.682521557,0.67395916,2652,0.341091216,0.441533918,1.191223301,0.161500861,1.532223154,0.58,36.45521994,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.032842818,0.170662455,0.28446775,0.842722869,3.677803157,0.08465701,0.325490116,0.706778992,0.126209817
P21,MALE,European_ICRP_2002,Poor metabolizers,30.3377738,0.193775195,102.6882307,8.677566707,40,12.51246174,0.711716866,1.545307137,0.4,0.378925021,0.167427084,0.053730696,4.188529607,1.341575659,0.579801081,9.867947984,0.688261601,0.679658331,0.001720654,0.261738399,0.261738399,0.314086079,0.733858932,0.791500841,0.001376523,0.001741302,0.235564559,0.015704304,0.05234768,0.035050184,0.002346865,0.962851973,0.158431837,1.146023748,0.287475855,30,54,0.146059717,1.5,14.92010293,0.9,45.35291391,3.47810415,0.817941498,0.370258944,27.67904801,0.984778106,1.717747937,1.481025197,0.370258944,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.097255388,0.537619105,73.26654723,0.370825642,1.232262801,2505,0.158273398,0.828694552,0.798155219,0.287566034,0.541704161,0.58,10.49918706,0.013,0.0238,0.0072,0.177,0.811,0.76,0.250579466,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.030131739,0.066686171,0.631769195,0.416225113,0.872428966,0.264229176,0.124372775,1.115669451,0.136675505
