IndividualId,Gender,Population,Weight (kg),Age (yr),Height (m)
119,FEMALE,European_ICRP_2002,58.42,85,1.56
120,FEMALE,European_ICRP_2002,28.43,8,1.25
121,MALE,European_ICRP_2002,71.65,95,1.64
122,FEMALE,European_ICRP_2002,54.34,22,1.55
123,MALE,European_ICRP_2002,52.44,54,1.53
124,MALE,European_ICRP_2002,7.96,0.5,0.69
125,MALE,European_ICRP_2002,75.2,48,1.74
126,MALE,European_ICRP_2002,65.13,72,1.61
127,FEMALE,European_ICRP_2002,67.76,54,1.71
128,FEMALE,European_ICRP_2002,59.29,24,1.65
129,MALE,European_ICRP_2002,123.39,59,1.67
130,FEMALE,European_ICRP_2002,59.76,38,1.48
131,MALE,European_ICRP_2002,78.44,77,1.74
132,FEMALE,European_ICRP_2002,26.22,8,1.19
133,MALE,European_ICRP_2002,57.62,97,1.75
134,FEMALE,European_ICRP_2002,82.97,24,1.74
135,FEMALE,European_ICRP_2002,65.24,93,1.5
136,MALE,European_ICRP_2002,91.29,65,1.75
137,MALE,European_ICRP_2002,25.15,7,1.27
138,FEMALE,European_ICRP_2002,55.37,54,1.52
139,FEMALE,European_ICRP_2002,48.36,95,1.56
140,MALE,European_ICRP_2002,73.24,43,1.71
141,MALE,European_ICRP_2002,61.86,23,1.73
142,MALE,European_ICRP_2002,68.62,49,1.75
143,MALE,European_ICRP_2002,54.8,77,1.56
144,FEMALE,European_ICRP_2002,45.32,83,1.57
145,FEMALE,European_ICRP_2002,72.73,72,1.63
146,MALE,European_ICRP_2002,37.69,10,1.4
147,MALE,European_ICRP_2002,11.14,3,0.87
148,MALE,European_ICRP_2002,9.6,0.9,0.76
149,FEMALE,European_ICRP_2002,57.98,70,1.48
150,MALE,European_ICRP_2002,63.72,68,1.63
151,FEMALE,European_ICRP_2002,86.47,78,1.7
152,FEMALE,European_ICRP_2002,40.92,53,1.44
153,FEMALE,European_ICRP_2002,59.74,18,1.69
154,FEMALE,European_ICRP_2002,32.28,10,1.42
155,FEMALE,European_ICRP_2002,79.51,45,1.6
156,MALE,European_ICRP_2002,87.21,75,1.74
157,FEMALE,European_ICRP_2002,56.41,85,1.61
158,FEMALE,European_ICRP_2002,44.13,12,1.56
159,MALE,European_ICRP_2002,72.98,41,1.7
160,MALE,European_ICRP_2002,69.32,39,1.77
161,MALE,European_ICRP_2002,55.42,58,1.64
162,MALE,European_ICRP_2002,77.34,54,1.66
163,MALE,European_ICRP_2002,25.89,7,1.19
164,FEMALE,European_ICRP_2002,66.37,17,1.56
165,MALE,European_ICRP_2002,31.5,8,1.35
166,FEMALE,European_ICRP_2002,43.69,78,1.41
167,MALE,European_ICRP_2002,29.66,8,1.24
168,MALE,European_ICRP_2002,71.95,49,1.79
169,MALE,European_ICRP_2002,61.58,21,1.67
170,FEMALE,European_ICRP_2002,29.51,99,1.39
171,FEMALE,European_ICRP_2002,65.76,20,1.64
172,MALE,European_ICRP_2002,77.44,30,1.73
173,FEMALE,European_ICRP_2002,56.5,24,1.74
174,MALE,European_ICRP_2002,85.71,61,1.67
175,FEMALE,European_ICRP_2002,49.5,67,1.55
176,MALE,European_ICRP_2002,56.06,97,1.56
177,MALE,European_ICRP_2002,64.62,86,1.64
178,MALE,European_ICRP_2002,80.47,45,1.77
179,FEMALE,European_ICRP_2002,67.61,59,1.6
180,MALE,European_ICRP_2002,13.7,1,0.83
181,MALE,European_ICRP_2002,72.53,69,1.82
182,MALE,European_ICRP_2002,66.27,92,1.81
183,MALE,European_ICRP_2002,61.11,32,1.59
184,MALE,European_ICRP_2002,67.23,79,1.62
185,MALE,European_ICRP_2002,107.8,44,1.84
186,MALE,European_ICRP_2002,66.5,66,1.64
187,MALE,European_ICRP_2002,85.69,67,1.86
188,FEMALE,European_ICRP_2002,60.1,45,1.69
189,MALE,European_ICRP_2002,56.3,95,1.62
190,MALE,European_ICRP_2002,63.59,18,1.73
191,MALE,European_ICRP_2002,50.95,83,1.51
192,MALE,European_ICRP_2002,75.23,25,1.74
193,FEMALE,European_ICRP_2002,60.52,36,1.58
194,MALE,European_ICRP_2002,66.53,23,1.77
195,FEMALE,European_ICRP_2002,59.67,24,1.71
196,MALE,European_ICRP_2002,71.17,96,1.59
197,FEMALE,European_ICRP_2002,28.32,8,1.36
198,MALE,European_ICRP_2002,59.85,90,1.67
199,FEMALE,European_ICRP_2002,78.33,17,1.69
